Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
['Comedy'],47,Norman Jewison,33,"[' Danny DeVito', ' Penelope Ann Miller', ' Gregory Peck', ' Piper Laurie', ' Dean Jones', ' Tom Aldredge']",Other People's Money (1991)
"['Drama', 'Art House & International', 'Comedy']",86,Allan Moyle,92,"[' Liane Balaban', ' Andrew McCarthy', ' Mary Walsh', ' Nicholas Campbell', ' Tara Spencer-Nairn', ' Cathy Moriarty']",New Waterford Girl (2000)
['Drama'],82,Sean Penn,74,"[' David Morse', ' Viggo Mortensen', ' Valeria Golino', ' Patricia Arquette', ' Charles Bronson', ' Sandy Dennis']",The Indian Runner (1991)
"['Action & Adventure', 'Mystery & Suspense', 'Classics']",84,Terence Young,96,"[' Sean Connery', ' Daniela Bianchi', ' Robert Shaw', ' Lotte Lenya', ' Pedro Armend\xc3\xa1riz', ' Eunice Gayson']",From Russia With Love (1964)
"['Art House & International', 'Drama']",73,Ki-duk Kim,76,"[' Jung Suh', ' Yu-seok Kim', ' Kim Yuh-suk', ' Jae Hyun Cho', ' Yoo-seok Kim', ' Jang Hang-seon']",The Isle (2000)
"['Romance', 'Art House & International', 'Science Fiction & Fantasy', 'Comedy']",81,Vittorio De Sica,75,"[' Anita Ekberg', ' Sophia Loren', ' Luigi Giuliani', ' Romy Schneider', ' Tom\xc3\xa1s Milian', ' Luigi Gillianni']",Boccaccio '70 (1962)
"['Mystery & Suspense', 'Drama']",71,Leon Ichaso,20,"[' Wesley Snipes', ' Michael Wright', ' Theresa Randle', ' Abe Vigoda', ' Ernie Hudson', ' Joe Dallesandro']",Sugar Hill (1994)
['Drama'],68,Justin Chadwick,58,"[' Idris Elba', ' Naomie Harris', ' Tony Kgoroge', ' Riaad Moosa', ' Jamie Bartlett', ' Lindiwe Matshikiza']",Mandela: Long Walk to Freedom (2013)
"['Drama', 'Action & Adventure', 'Art House & International']",94,Rakesh Omprakash Mehra,83,"[' Aamir Khan', ' Siddharth', ' Kunal Kapoor', ' Sharman Joshi', ' Alice Patten', ' Soha Ali Khan']",Rang De Basanti (Paint it Yellow) (2006)
"['Drama', 'Action & Adventure', 'Science Fiction & Fantasy']",73,Steve Barron,80,"[' Sam Neill', ' Isabella Rossellini', ' Miranda Richardson', ' Martin Short', ' Rutger Hauer', ' Helena Bonham Carter']",Merlin (1998)
"['Comedy', 'Kids & Family']",38,Tim Hill (III),29,"[' Alex D. Linz', ' Larry Miller', ' Jamie Kennedy', ' Zena Grey', ' Josh Peck', ' Nora Dunn']",Max Keeble's Big Move (2001)
"['Mystery & Suspense', 'Drama']",67,Christopher McQuarrie,62,"[' Tom Cruise', ' Rosamund Pike', ' Richard Jenkins', ' David Oyelowo', ' Werner Herzog', ' Jai Courtney']",Jack Reacher (2012)
"['Drama', 'Mystery & Suspense', 'Comedy']",93,Damián Szifron,96,"[' Ricardo Dar\xc3\xadn', ' Leonardo Sbaraglia', ' Dar\xc3\xado Grandinetti', ' Erica Rivas', ' Oscar Mart\xc3\xadnez', ' Osmar Nu\xc3\xb1ez']",Wild Tales (2015)
"['Drama', 'Art House & International', 'Comedy']",79,Eric Rohmer,100,"[' Pascale Ogier', ' Fabrice Luchini', ' Tcheky Karyo', ' Christian Vadim', ' Virginie Th\xc3\xa9venet', ' Anne-S\xc3\xa9verine Liotar...']",Les Nuits de la pleine lune (Full Moon in Paris) (1984)
