	Audience Score	Tomato-meter	Year	Genre	Director
93551	95	100	1957	Drama	Billy Wilder
93552	75	91	1931	Drama	Mervyn LeRoy
93553	63	19	1999	Drama	Jeff Franklin
93555	61	16	2008	Drama	Shamim Sarif
93556	46	9	2000	Drama	Rob Walker
93561	35	46	2000	Drama	Philip Haas
93566	54	73	1956	Drama	Roger Vadim
93567	53	64	1990	Drama	Warren Beatty
93570	82	94	2013	Drama	Spike Jonze
93572	70	80	1998	Drama	Paul Mazursky
93573	84	100	1967	Drama	Seijun Suzuki
93574	77	55	2010	Drama	Bruce Beresford
93575	59	40	2009	Drama	Ken Kwapis
93580	55	38	1969	Drama	Peter Yates
93581	84	67	1996	Drama	Doris Dörrie
93582	70	50	2013	Drama	Ben Stiller
93583	77	60	1978	Drama	Andrew V. McLaglen
93585	72	67	2012	Drama	Zam Salim
93587	79	87	2006	Drama	Mira Nair
93589	68	75	2008	Drama	Karen Shakhnazarov
93591	94	94	2008	Drama	Christopher Nolan
93595	11	13	2011	Drama	John Doyle
93596	53	43	1969	Drama	Sydney Pollack
93597	72	67	2006	Drama	Gaby Dellal
93598	87	98	1995	Drama	John Sayles
93599	36	33	2000	Drama	James Bolton
93603	69	64	2007	Drama	Peter Hedges
93605	89	85	1993	Drama	Wayne Wang
93607	63	57	2006	Drama	Hal Haberman
93611	46	20	1992	Drama	John McTiernan
93615	41	78	1985	Drama	Joyce Chopra
93617	75	34	1997	Drama	Peter O'Fallon
93619	26	44	2008	Drama	Gillian Armstrong
93620	70	55	2004	Drama	Luke Greenfield
93625	57	50	1989	Drama	Jim Kouf
93626	60	39	1997	Drama	Danny Boyle
93627	47	39	2009	Drama	Roland Emmerich
93628	74	88	2008	Drama	Courtney Hunt
93629	79	77	2002	Drama	Peter Care
93631	46	34	2004	Drama	Kar Wai Wong
93636	84	81	2005	Drama	Miranda July
93638	36	36	1988	Drama	Daniel Petrie
93639	91	89	2003	Drama	Jim Sheridan
93640	37	62	2014	Drama	Mahamat-Saleh Haroun
93642	55	62	1982	Drama	Michelangelo Antonioni
93643	38	20	2014	Drama	David Posamentier
93645	73	100	1972	Drama	Maurice Pialat
93648	25	23	1984	Drama	Richard Benjamin
93650	60	19	2004	Drama	Andy Cadiff
93653	31	63	2006	Drama	David Mazzoni
93654	77	55	1973	Drama	Norman Jewison
93655	67	63	2000	Drama	Mark Hanlon
93657	71	60	2015	Drama	François Girard
93659	84	61	1995	Drama	Peter Chelsom
93663	57	43	2004	Drama	M. Night Shyamalan
93665	64	91	2014	Drama	Justin Simien
93667	71	95	1940	Drama	Raoul Walsh
93668	85	100	1989	Drama	Gus Van Sant
93671	79	81	1996	Drama	Steve Buscemi
93672	36	14	1996	Drama	Philip Goodhew
93673	78	71	2000	Drama	Paul McGuigan
93676	72	87	2003	Drama	Phillip Noyce
93677	83	100	2002	Drama	Mick Jackson
93681	48	56	2012	Drama	Rodrigo García
93683	72	74	1987	Drama	Fred Zinnemann
93684	22	29	2004	Drama	Matthew Bright
93686	25	29	2008	Drama	Philippe Caland
93687	75	23	2007	Drama	Tommy O'Haver
93692	73	100	2007	Drama	Stéphane Brizé
93695	68	10	2005	Drama	Clare Kilner
93697	35	6	2005	Drama	Marcos Siega
93698	72	80	2014	Drama	Claudia Myers
93701	51	72	2013	Drama	Jon Wright
93702	93	94	1962	Drama	Robert Mulligan
93704	75	79	2007	Drama	Aleksei Balabanov
93706	73	86	2010	Drama	Tony Scott
93707	79	20	2015	Drama	Sarik Andreasyan
93710	85	50	2005	Drama	Nick Love
93711	39	75	1986	Drama	Julien Temple
93712	36	43	2005	Drama	Renee Chabria
93719	89	88	1993	Drama	Takeshi Kitano
93720	53	36	2015	Drama	David Cross
93724	37	8	2008	Drama	Roland Emmerich
93726	41	14	1995	Drama	Roland Joffé
93727	43	0	2003	Drama	Darrell Rooney
93728	65	88	2006	Drama	Ramin Bahrani
93729	49	46	2007	Drama	Woody Allen
93731	65	33	1994	Drama	Roger Avary
93735	95	97	1942	Drama	Michael Curtiz
93736	70	29	2014	Drama	Sebastián del Amo
93738	81	97	2013	Drama	Clio Barnard
93739	78	100	1974	Drama	Bertrand Tavernier
93740	33	20	2005	Drama	Hideo Nakata
93741	81	89	2002	Drama	Aleksandr Sokurov
93742	34	64	2009	Drama	Adam Salky
93743	90	94	2003	Drama	Sylvain Chomet
93744	71	67	1951	Drama	William Wyler
93747	58	14	2012	Drama	David L.G. Hughes
93750	76	53	2001	Drama	Juan Luis Iborra
93751	48	22	2008	Drama	Callie Khouri
93752	90	82	2005	Drama	James Mangold
93753	75	33	2013	Drama	Stanley J. Orzel
93754	10	0	1981	Drama	Terence Young
93755	86	95	2011	Drama	Bennett Miller
93758	69	50	2000	Drama	Richard Dutcher
93759	92	83	2011	Drama	Gavin O'Connor
93760	54	49	2010	Drama	Sylvain White
93761	76	77	2003	Drama	Gary Ross
93762	75	83	1989	Drama	Brian De Palma
93764	93	98	1980	Drama	Martin Scorsese
93767	44	46	1986	Drama	John Frankenheimer
93771	89	65	2004	Drama	Theodoros Angelopoulos
93773	56	50	1995	Drama	Billy Crystal
93774	32	7	1990	Drama	Sidney Poitier
93775	78	70	2006	Drama	Michael Hofmann
93777	75	99	2011	Drama	Aki Kaurismäki
93778	39	63	1992	Drama	Tamra Davis
93779	44	62	1998	Drama	Richard Linklater
93780	70	44	1978	Drama	Donald Wrye
93783	76	80	1992	Drama	Marc Rocco
93784	80	91	1983	Drama	Penelope Spheeris
93785	78	94	1997	Drama	John Madden
93786	71	48	2006	Drama	Jeremy Brock
93790	51	71	2008	Drama	Jan Schütte
93791	65	69	1996	Drama	Ron Shelton
93792	72	27	2000	Drama	Sergei Bodrov
93793	47	23	2006	Drama	Irwin Winkler
93794	75	79	2012	Drama	Kikumi Yamagishi
93796	38	56	1993	Drama	Tim Flynn
93797	74	76	2004	Drama	István Szabó
93801	77	53	2002	Drama	Todd Louiso
93802	78	27	2002	Drama	Adam Shankman
93804	47	71	2010	Drama	Sofia Coppola
93810	73	80	2004	Drama	Ming-liang Tsai
93816	93	91	1976	Drama	Sidney Lumet
93819	89	72	2001	Drama	Antoine Fuqua
93829	88	100	1962	Drama	David Lean
93833	45	84	2014	Drama	Eliza Hittman
93835	57	63	1999	Drama	Ricardo Tognazzi
93837	94	91	1957	Drama	Elia Kazan
93838	78	74	2001	Drama	Maggie Greenwald
93840	80	40	1998	Drama	Meg Richman
93842	68	69	2010	Drama	Daniel Alfredson
93843	100	86	2014	Drama	Samuel Kishi
93844	26	8	2013	Drama	Oliver Hirschbiegel
93845	57	63	2000	Drama	Philippa Karmel
93848	89	80	1993	Drama	Ronald F. Maxwell
93854	45	25	2015	Drama	Bernard Rose
93855	67	21	2003	Drama	Robert Shallcross
93856	87	100	1992	Drama	Woody Allen
93857	48	15	2013	Drama	Carl Rinsch
93858	80	93	2013	Drama	Kathryn Bigelow
93863	31	35	2009	Drama	R.W. Goodwin
93864	24	40	2010	Drama	Jake Goldberger
93866	37	88	2010	Drama	Claude Chabrol
93867	70	71	2008	Drama	Jean-Paul Salomé
93868	88	96	1973	Drama	Robert Altman
93870	66	77	2001	Drama	Barbet Schroeder
93873	69	93	2013	Drama	Chad Hartigan
93875	47	63	1997	Drama	Guy Ferland
93877	14	40	2011	Drama	Alex Cox
93880	65	85	1996	Drama	Edward Zwick
93881	87	82	2005	Drama	Nobuhiro Yamashita
93883	93	90	1971	Drama	Stanley Kubrick
93884	52	32	2007	Drama	Ethan Hawke
93885	61	27	2004	Drama	Beeban Kidron
93886	90	100	1920	Drama	Victor Sjöström
93887	40	10	2001	Drama	Chuck Parello
93890	72	80	2005	Drama	Darren Lemke
93892	70	25	1986	Drama	Prince
93893	46	56	1983	Drama	Robert Altman
93898	59	60	1989	Drama	Jonathan Kaplan
93899	52	60	1965	Drama	Michael Anderson
93900	57	19	2000	Drama	William DeMeo
93901	77	84	2009	Drama	David Yates
93903	80	82	1997	Drama	Bill Bennett
93904	46	64	2008	Drama	Brian Goodman
93905	83	100	1947	Drama	Michael Powell
93907	87	83	1999	Drama	Norman Jewison
93911	41	41	1976	Drama	Elia Kazan
93914	85	40	1978	Drama	Robert Mulligan
93915	60	33	2006	Drama	Xiaogang Feng
93917	90	90	2004	Drama	Pen-Ek Ratanaruang
93918	67	59	2002	Drama	Paul Gross
93919	36	94	2004	Drama	Federico Hidalgo
93925	61	70	1949	Drama	Nicholas Ray
93927	53	26	2003	Drama	Andrzej Bartkowiak
93928	29	0	2002	Drama	Sheldon Lettich
93929	41	20	2010	Drama	Anant Mahadevan
93930	72	40	1996	Drama	Mira Nair
93931	69	67	2002	Drama	Roman Coppola
93932	64	74	2012	Drama	Jonathan Teplitzky
93935	72	41	2005	Drama	Roger Kumble
93936	81	33	2004	Drama	Eric Bress
93937	65	82	1974	Drama	Richard Fleischer
93939	58	31	2007	Drama	Brad Gann
93940	69	52	2008	Drama	Pascal Laugier
93941	29	27	2015	Drama	Simon West
93942	80	50	2013	Drama	Brad J. Silverman
93943	66	93	1947	Drama	Robert Hamer
93944	81	83	2014	Drama	John Carney
93945	51	39	1992	Drama	Ridley Scott
93946	71	86	1996	Drama	Nicole Holofcener
93947	83	75	1963	Drama	Stanley Kramer
93948	79	91	1998	Drama	Robert Duvall
93949	90	43	2001	Drama	Eric Hannah
93951	71	86	2012	Drama	Valérie Donzelli
93954	80	82	1988	Drama	Oliver Stone
93955	59	36	2004	Drama	Quentin Lee
93959	86	92	1966	Drama	Tom McGowan
93960	74	91	2015	Drama	Sarah Adina Smith
93967	75	90	2004	Drama	Bill Condon
93968	82	80	1943	Drama	Busby Berkeley
93969	44	43	2008	Drama	Charles Oliver
93970	78	72	2013	Drama	Lee Daniels
93974	49	37	2006	Drama	Mike Barker
93975	93	53	2008	Drama	Marcos Carnevale
93976	76	92	2014	Drama	Ruben Östlund
93977	40	44	2013	Drama	Quentin Dupieux
93979	73	100	1930	Drama	Thornton Freeland
93980	94	92	1942	Drama	Jacques Tourneur
93981	67	19	2006	Drama	Steve Stockman
93982	51	85	2011	Drama	Ian Sharp
93985	93	78	1986	Drama	Claude Berri
93988	48	54	1999	Drama	Cédric Kahn
93993	38	56	1974	Drama	Just Jaeckin
93995	67	80	1967	Drama	Robert Mulligan
93996	67	26	2010	Drama	Toyomichi Kurita
93998	40	50	2004	Drama	Alex Turner (II)
93999	55	25	2007	Drama	Roger Paradiso
94001	87	82	1956	Drama	Robert Wise
94003	62	47	2005	Drama	Rebecca Miller
94005	89	92	2001	Drama	Sandra Nettelbeck
94006	48	30	2006	Drama	Stewart Main
94007	88	89	1968	Drama	John Cassavetes
94008	54	8	2014	Drama	Bille Woodruff
94009	37	56	1992	Drama	Billy Crystal
94011	75	90	1984	Drama	Michael Cimino
94013	71	67	1979	Drama	François Truffaut
94014	62	69	2007	Drama	Cam Archer
94023	84	73	2001	Drama	Julian Schnabel
94024	24	33	2012	Drama	Donald Rice
94025	79	88	2013	Drama	Jono Oliver
94027	80	85	2008	Drama	Uli Edel
94029	39	20	1993	Drama	Carl Schenkel
94036	32	48	2007	Drama	Jean-Claude Brisseau
94037	42	42	1953	Drama	Vittorio De Sica
94040	47	71	1971	Drama	Melvin Van Peebles
94042	77	50	2011	Drama	Todd Haynes
94043	55	64	2000	Drama	Wayne Wang
94046	92	46	2015	Drama	Chris Dowling
94049	71	27	2005	Drama	Marc Forster
94051	74	87	2003	Drama	Guy Maddin
94052	86	92	1957	Drama	Mehboob Khan
94056	39	0	1982	Drama	Robert J. Rosenthal
94060	28	24	2012	Drama	Philip Dorling
94062	33	50	2001	Drama	Zachary Hansen
94063	55	100	1938	Drama	Michal Waszynski
94064	75	50	2008	Drama	Patrik-Ian Polk
94065	58	49	2007	Drama	Alan Ball
94066	86	70	1998	Drama	Marshall Herskovitz
94069	81	92	2008	Drama	Nadine Labaki
94071	72	58	2006	Drama	Timur Bekmambetov
94074	64	29	2006	Drama	Terry Gilliam
94075	55	80	1975	Drama	John Byrum
94081	97	90	1988	Drama	Giuseppe Tornatore
94082	61	6	2005	Drama	Tommy Stovall
94085	81	80	1946	Drama	Wolfgang Staudte
94086	84	100	2004	Drama	Nicolas Winding Refn
94090	36	19	2000	Drama	John Schlesinger
94091	76	75	1977	Drama	Richard Brooks I
94092	15	6	2014	Drama	Edna Biesold
94096	31	9	2011	Drama	Dominic Sena
94098	45	50	1979	Drama	Jan Troell
94099	60	86	2008	Drama	Sang-soo Hong
94101	75	29	2008	Drama	Ryan Little
94102	94	93	1960	Drama	Billy Wilder
94103	44	33	2001	Drama	Mikael Salomon
94104	41	50	2015	Drama	Shane Abbess
94107	49	79	2010	Drama	Manoel de Oliveira
94108	77	88	2015	Drama	Eran Riklis
94109	83	94	1971	Drama	Monte Hellman
94111	94	96	1928	Drama	King Vidor
94117	29	44	2009	Drama	Nikhil Advani
94121	60	41	2008	Drama	Peter Berg
94122	41	79	2009	Drama	Michael Winterbottom
94125	79	16	2014	Drama	Harold Cronk
94128	18	17	1988	Drama	Peter Masterson
94134	44	0	2011	Drama	Ellen Perry
94135	38	71	2002	Drama	David Michael Latt
94136	54	60	2012	Drama	Jeong-woo Park
94137	77	94	1979	Drama	Lewis John Carlino
94138	77	90	2014	Drama	Jean-Marc Vallée
94140	60	63	1993	Drama	Jon Amiel
94141	85	94	2010	Drama	Olivier Assayas
94143	33	0	1986	Drama	Hal Ashby
94144	86	97	2001	Drama	Ang Lee
94145	86	89	1979	Drama	Jonathan Kaplan
94149	83	100	1965	Drama	William Wyler
94151	46	67	1992	Drama	Richard Pearce
94154	58	79	2014	Drama	Derek Lee
94156	81	80	1987	Drama	Howard Deutch
94157	59	15	2014	Drama	Shana Feste
94158	64	44	1991	Drama	Mike Nichols
94159	95	93	1963	Drama	John Sturges
94167	71	85	2011	Drama	Hans Petter Moland
94168	62	81	2011	Drama	Vera Farmiga
94169	93	100	2015	Drama	René Clément
94170	67	73	2014	Drama	Peter Sattler
94173	90	89	1967	Drama	Mike Nichol
94176	80	96	2001	Drama	Dominik Moll
94178	40	61	2002	Drama	Bruno Pésery
94179	76	91	1969	Drama	Ken Russell
94181	89	94	1978	Drama	Terrence Malick
94182	42	75	2011	Drama	Jon Hewitt
94183	85	95	1979	Drama	Don Siegel
94184	75	80	1952	Drama	Phil Karlson
94186	73	21	2014	Drama	Christopher Spencer
94187	22	12	2009	Drama	Rawson Marshall Thurber
94189	70	61	2002	Drama	Jay Russell
94190	64	67	1999	Drama	Kevin Brownlow
94194	83	91	2014	Drama	Hany Abu-Assad
94200	77	83	1954	Drama	George Seaton
94203	81	75	2002	Drama	Martin Scorsese
94204	81	83	1969	Drama	Gillo Pontecorvo
94205	88	75	2014	Drama	Sang-soo Hong
94207	67	100	1931	Drama	King Vidor
94211	88	67	1978	Drama	John Milius
94212	38	50	1988	Drama	Robert Greenwald
94213	58	34	2007	Drama	Alison Eastwood
94214	61	80	2014	Drama	Todd Burrows
94216	74	88	2011	Drama	Brendan Fletcher
94218	58	43	1987	Drama	Francis Ford Coppola
94219	56	31	2006	Drama	Ryan Murphy
94220	5	0	1994	Drama	John Madden
94221	88	39	1992	Drama	John G. Avildsen
94223	91	83	1992	Drama	Ernest R. Dickerson
94226	17	8	2011	Drama	Darren Lynn Bousman
94230	72	51	2012	Drama	Nadine Labaki
94231	16	0	1990	Drama	Leonard Nimoy
94232	81	65	1990	Drama	David Lynch
94233	61	20	2007	Drama	James Wan
94235	74	93	1985	Drama	Martin Ritt
94236	29	50	2013	Drama	Tom O'Brien
94237	76	22	2002	Drama	Jon Purdy
94238	36	32	2009	Drama	Tony Stone
94239	51	58	2003	Drama	John Sayles
94240	37	25	2012	Drama	Xavier Gens
94241	47	68	2013	Drama	Michel Gondry
94247	52	92	1932	Drama	Frank Borzage
94248	52	58	1987	Drama	Woody Allen
94250	30	25	2000	Drama	Brian DePalma
94251	17	20	1998	Drama	Robert DeFranco
94253	80	80	1995	Drama	Jon Turteltaub
94255	77	40	2001	Drama	Peter Hewitt
94256	56	22	2004	Drama	D.J. Caruso
94257	59	12	2013	Drama	Harald Zwart
94260	62	60	2012	Drama	Matthew Mishory
94262	83	78	1999	Drama	Michael Polish
94263	80	100	1953	Drama	Joseph L. Mankiewicz
94264	61	32	2012	Drama	Daniel Barnz
94265	50	57	1993	Drama	Simon Wincer
94268	55	72	2008	Drama	Stuart Gordon
94270	78	57	1970	Drama	Akira Kurosawa
94271	85	93	1966	Drama	Milos Forman
94272	37	36	2009	Drama	Faith Akin
94274	88	96	1955	Drama	Nicholas Ray
94277	86	91	1964	Drama	François Truffaut
94284	92	98	1976	Drama	Alan J. Pakula
94286	68	68	1995	Drama	Christopher Ashley
94287	90	73	2006	Drama	James McTeigue
94288	58	52	1997	Drama	Bille August
94289	86	43	1994	Drama	Yuri Mamin
94290	90	97	1975	Drama	Sidney Lumet
94292	77	64	1997	Drama	Gregory Nava
94296	91	93	2007	Drama	Paul Greengrass
94298	41	55	2014	Drama	Drake Doremus
94299	67	48	1998	Drama	Kevin Rodney Sullivan
94305	73	82	2007	Drama	Mike Nichols
94306	96	67	2015	Drama	Charles Binamé
94310	76	46	1995	Drama	Scott Kalvert
94311	37	82	2014	Drama	Emanuel Hoss-Desmarais
94315	83	100	1959	Drama	Jack Clayton
94317	69	22	2007	Drama	Lindsey Christian
94321	76	75	1999	Drama	Isao Takahata
94322	53	0	1998	Drama	Dan Rosen
94323	93	100	1954	Drama	Kenji Mizoguchi
94324	44	21	2013	Drama	Ronald F. Maxwell
94326	80	90	2012	Drama	Steven Spielberg
94327	48	78	2010	Drama	Catherine Breillat
94330	86	100	1958	Drama	Ingmar Bergman
94331	45	20	2011	Drama	Dennis Lee
94333	49	66	2012	Drama	Jennifer Westfeldt
94336	82	91	2006	Drama	Paul Greengrass
94339	90	97	1940	Drama	Howard Hawks
94341	56	36	1999	Drama	Eric Styles
94342	93	13	1984	Drama	R. J. Kizer
94343	82	83	2005	Drama	Carlos Sorín
94345	74	74	1998	Drama	Brad Anderson
94347	89	89	1988	Drama	Pedro Almodóvar
94348	70	71	2007	Drama	Marcelo Piñeyro
94351	69	87	2005	Drama	Agne Jaoui
94352	77	60	1963	Drama	John Ford
94353	80	76	2003	Drama	Gavin Heffernan
94354	45	39	2011	Drama	Don Roos
94356	92	95	1973	Drama	Robert Clouse
94359	63	73	2014	Drama	Lucía Puenzo
94362	92	96	1997	Drama	Jan Sverák
94366	75	100	2007	Drama	Claude Berri
94371	75	92	1943	Drama	Jacques Tourneur
94374	79	85	1965	Drama	Norman Jewison
94375	72	87	1989	Drama	Steve DeJarnatt
94377	39	64	2009	Drama	David Pastor
94378	48	24	2009	Drama	Paul Morrison
94379	85	100	1945	Drama	H. Bruce Humberstone
94380	74	42	2011	Drama	Yimou Zhang
94381	86	88	2002	Drama	Phillip Noyce
94384	93	100	2015	Drama	Morgan Matthews
94392	85	92	1942	Drama	William Wyler
94393	57	60	1997	Drama	Bart Freundlich
94394	87	93	1999	Drama	Spike Jonze
94395	38	58	2013	Drama	Xan Cassavetes
94396	62	28	2010	Drama	John Luessenhop
94397	72	75	1956	Drama	Nunnally Johnson
94398	72	43	1998	Drama	Timothy Hutton
94399	91	93	1964	Drama	Sidney Lumet
94402	27	11	2004	Drama	Renny Harlin
94406	89	88	1959	Drama	William Wyler
94407	90	91	2004	Drama	Clint Eastwood
94408	57	13	2008	Drama	David E. Talbert
94410	39	49	2008	Drama	Noam Murro
94417	60	100	1993	Drama	Gregg Araki
94419	45	44	1997	Drama	Sam Pillsbury
94420	62	76	2005	Drama	Jay Duplass
94424	72	75	1962	Drama	Richard Brooks (VI)
94427	94	93	2004	Drama	Michel Gondry
94428	68	81	1991	Drama	Bruce Beresford
94432	76	87	2005	Drama	David Cronenberg
94435	61	70	2011	Drama	J.C. Khoury
94438	61	47	2007	Drama	Kar Wai Wong
94439	57	100	1915	Drama	D.W. Griffith
94445	38	13	2015	Drama	Deon Taylor
94446	85	94	2011	Drama	Oliver Bokelberg
94450	55	71	2007	Drama	Alister Grierson
94451	16	8	2009	Drama	Paddy Breathnach
94453	90	91	2005	Drama	Deepa Mehta
94454	69	27	1995	Drama	Carlo Carlei
94455	66	67	2009	Drama	Kabir Khan
94457	78	67	1990	Drama	Francis Ford Coppola
94458	74	34	2000	Drama	Peter O'Fallon
94461	44	22	2008	Drama	Xavier Palud
94463	68	76	1992	Drama	Ron Shelton
94464	92	100	2008	Drama	Carl Theodor Dreyer
94467	86	80	2015	Drama	Julian Jarrold
94468	78	97	1992	Drama	Neil Jordan
94469	84	54	1986	Drama	Tony Scott
94471	84	64	1972	Drama	Peter Hunt
94472	81	92	1989	Drama	Jean-Jacques Annaud
94473	70	57	1993	Drama	Peter Bogdanovich
94475	28	50	1996	Drama	Christopher Hampton
94481	63	56	2001	Drama	Neal Slavin
94483	24	4	2005	Drama	Klaus Menzel
94485	62	67	2007	Drama	Gregory Wilson
94486	62	13	1991	Drama	John Landis
94487	23	34	2013	Drama	Ana Piterbarg
94493	69	47	1985	Drama	Joel Schumacher
94494	30	38	2003	Drama	Jed Weintrob
94496	56	73	1989	Drama	Woody Allen
94497	75	100	1931	Drama	Josef von Sternberg
94498	90	76	2001	Drama	Baz Luhrmann
94501	61	73	2014	Drama	Destiny Ekaragha
94502	85	100	1928	Drama	Josef von Sternberg
94504	78	89	1979	Drama	John Huston
94507	80	63	1971	Drama	Lee H. Katzin
94510	74	50	1991	Drama	David Jones (II)
94512	64	40	2007	Drama	Justin Theroux
94514	83	74	1998	Drama	Bille August
94515	82	90	1965	Drama	Jean-Luc Godard
94519	91	96	1943	Drama	Emeric Pressburger
94524	68	67	1990	Drama	Jean-Luc Godard
94525	80	100	2014	Drama	Allan Dwan
94527	50	10	2011	Drama	Marcus Dean Fuller
94528	76	80	1993	Drama	Martin Scorsese
94531	50	14	1993	Drama	Billy Weber
94532	74	57	2005	Drama	Jane Anderson
94533	30	21	2009	Drama	David Ondaatje
94534	56	26	2006	Drama	Wil Shriner
94535	31	29	2006	Drama	Ariel Vromen
94538	70	83	2005	Drama	Sung-su Kim
94539	60	100	1983	Drama	Paul Cox
94540	48	83	2013	Drama	Joe Swanberg
94542	74	91	1987	Drama	Ringo Lam
94544	34	82	2013	Drama	Anthony C. Ferrante
94545	40	45	2014	Drama	Jalil Lespert
94548	65	68	1997	Drama	Sidney Lumet
94550	83	14	2005	Drama	Damon Dash
94552	55	39	2007	Drama	Robert Benton
94554	86	100	1989	Drama	Patrice Leconte
94555	42	8	1985	Drama	Bruce Beresford
94557	91	94	1966	Drama	Mike Nichols
94560	74	79	2015	Drama	Erik Greenberg Anjou
94564	88	100	1963	Drama	Lindsay Anderson
94567	82	88	1984	Drama	Pedro Almodóvar
94569	62	86	1971	Drama	Rainer Werner Fassbinder
94570	50	29	2001	Drama	John Madden
94574	37	35	1984	Drama	Gene Wilder
94575	71	91	2012	Drama	Leos Carax
94576	89	85	2012	Drama	Stephen Chbosky
94578	70	20	2002	Drama	Barry Tubb
94579	90	80	1940	Drama	Mervyn LeRoy
94580	79	85	1996	Drama	Cameron Crowe
94582	74	85	1980	Drama	Brian DePalma
94583	71	50	2014	Drama	Mike Clattenburg
94584	82	100	1948	Drama	Anatole Litvak
94587	76	67	1982	Drama	Paolo Taviani
94590	69	43	2011	Drama	Lynn Shelton
94592	75	73	1983	Drama	Barbra Streisand
94594	86	96	1960	Drama	Richard Brooks I
94599	25	0	2015	Drama	Daniel Petrie Jr.
94602	79	71	1993	Drama	Martha Coolidge
94603	81	94	2009	Drama	Ramin Bahrani
94606	85	98	1992	Drama	Robert Altman
94609	79	53	2004	Drama	Tony McNamara
94610	47	49	2013	Drama	Peter Landesman
94614	92	69	1965	Drama	Fred Coe
94615	32	26	1990	Drama	John G. Avildsen
94616	80	87	2013	Drama	David Siegel
94632	77	81	2003	Drama	Catherine Hardwicke
94633	53	7	2007	Drama	Ken Kwapis
94637	69	100	1962	Drama	Vincente Minnelli
94640	81	68	2014	Drama	Steven Quale
94643	68	53	2002	Drama	Todd Solondz
94644	68	50	1998	Drama	Randa Haines
94645	91	71	1991	Drama	Jim Jarmusch
94647	58	77	1990	Drama	Woody Allen
94650	72	95	1919	Drama	D.W. Griffith
94652	31	30	2002	Drama	Tom DiCillo
94655	83	55	1992	Drama	Carroll Ballard
94659	93	87	2005	Drama	Hayao Miyazaki
94664	91	87	1984	Drama	Hayao Miyazaki
94669	69	83	1992	Drama	Arne Glimcher
94670	53	50	2006	Drama	Ron Oliver
94674	74	85	1979	Drama	Ted Kotcheff
94676	79	65	2006	Drama	Mel Gibson
94677	72	29	1987	Drama	Mike Newell
94678	67	68	2007	Drama	David Gordon Green
94682	76	53	1996	Drama	Bernardo Bertolucci
94683	82	89	1963	Drama	Georges Franju
94687	53	78	2000	Drama	Clint Eastwood
94694	72	58	2013	Drama	Pitipol Ybarra
94696	80	43	2004	Drama	Shainee Gabel
94698	37	7	2012	Drama	David Barrett
94703	30	10	2008	Drama	Larry Bishop
94705	90	79	2009	Drama	Clint Eastwood
94708	92	61	1999	Drama	Rick Famuyiwa
94709	86	83	2002	Drama	Tony Gatlif
94716	83	90	1955	Drama	Joseph L. Mankiewicz
94717	71	80	1991	Drama	Glenn Jordan
94718	47	83	1973	Drama	Bill Gunn
94725	74	64	2000	Drama	Laurent Firode
94727	61	57	2007	Drama	James Gray
94729	26	38	2015	Drama	Ryan Piers Williams
94730	50	90	2000	Drama	Lisanne Skyler
94734	89	86	1951	Drama	Brian Desmond Hurst
94736	30	14	2007	Drama	Rosser Goodman
94737	30	0	2000	Drama	Ron Lagomarsino
94738	70	31	1976	Drama	Frank Pierson
94740	53	41	2010	Drama	Jon Turtletaub
94743	72	86	1979	Drama	Nicholas Meyer
94744	79	75	1998	Drama	Peter Chelsom
94748	94	100	1985	Drama	Peter Yates
94760	43	53	1993	Drama	Anthony Minghella
94762	48	81	2014	Drama	Antonio Piazza
94763	91	80	1993	Drama	Brian DePalma
94764	92	97	2012	Drama	Jean Renoir
94765	47	13	2012	Drama	Madonna
94767	87	20	2002	Drama	Adam Thomas Anderegg
94768	87	100	1947	Drama	Edmund Goulding
94771	67	88	2012	Drama	Sean Baker
94772	13	6	2003	Drama	Martin Brest
94774	42	67	2015	Drama	Maggie Kiley
94776	59	69	1987	Drama	Peter Yates
94781	86	84	2008	Drama	Martin McDonagh
94782	31	57	2007	Drama	Robert Davi
94783	50	29	2004	Drama	Chazz Palminteri
94784	69	73	2006	Drama	Dogulas McGrath
94786	37	45	2005	Drama	Barbara Kopple
94787	49	75	1985	Drama	Robert Altman
94797	85	74	2006	Drama	John Curran
94798	83	100	1954	Drama	Herbert J. Biberman
94799	63	77	2003	Drama	Neil Jordan
94801	71	31	2015	Drama	Jason Priestley
94803	56	78	1981	Drama	Michael Apted
94805	46	37	2012	Drama	Tim Burton
94806	64	64	2010	Drama	Ry Russo-Young
94810	81	71	2003	Drama	Takashi Miike
94811	89	100	1934	Drama	Jean Vigo
94813	53	47	2008	Drama	Achim Bornhak
94815	83	85	2003	Drama	Ji-woon Kim
94816	83	100	1958	Drama	Robert Wise
94817	83	74	1995	Drama	Stephen Herek
94819	83	81	2001	Drama	Raoul Peck
94821	74	70	1955	Drama	Akira Kurosawa
94825	42	34	2013	Drama	Billy Bob Thornton
94826	60	94	2009	Drama	Adrián Biniez
94827	63	100	1963	Drama	Peter Brook
94829	62	62	2015	Drama	Russell Crowe
94831	69	80	1984	Drama	John Carpenter
94834	64	17	1998	Drama	Michael Martin
94835	65	52	2011	Drama	Lee Tamahori
94836	75	80	1986	Drama	Masanori Hata
94837	86	100	1948	Drama	Max Ophüls
94838	68	81	2012	Drama	Adrian Grunberg
94840	40	50	1984	Drama	Stewart Raffill
